k_x	k_y	k_z	k_A	k_B	k_C	damp_t	damp_r	success	partialSuccess	
224.0	238.0	412.0	79.0	79.0	9.0	0.7	0.2	false	false
158.0	226.0	470.0	80.0	53.0	8.0	0.4	0.4	false	false
205.0	233.0	671.0	35.0	18.0	10.0	0.7	0.8	false	false
129.0	131.0	510.0	69.0	80.0	7.0	0.9	0.3	false	false
103.0	165.0	510.0	28.0	14.0	10.0	0.8	0.4	false	false
268.0	136.0	693.0	58.0	30.0	8.0	0.9	0.9	false	false
77.0	182.0	434.0	78.0	54.0	65.0	0.1	0.2	false	true
199.0	246.0	633.0	17.0	41.0	53.0	0.2	0.6	false	true
197.0	94.0	557.0	30.0	30.0	29.0	0.2	0.9	false	false
201.0	56.0	340.0	79.0	34.0	20.0	0.7	0.3	false	false
261.0	52.0	354.0	32.0	34.0	47.0	0.4	0.5	false	false
230.0	148.0	387.0	69.0	69.0	39.0	0.6	0.9	false	true
268.0	267.0	456.0	58.0	16.0	14.0	0.9	0.1	false	false
82.0	187.0	657.0	27.0	70.0	69.0	0.9	0.4	false	true
169.0	129.0	538.0	35.0	45.0	74.0	0.8	0.9	false	true
275.0	105.0	566.0	74.0	47.0	108.0	0.3	0.3	false	true
299.0	94.0	490.0	38.0	18.0	107.0	0.1	0.4	false	false
77.0	193.0	375.0	12.0	68.0	140.0	0.3	0.8	false	true
249.0	155.0	361.0	78.0	36.0	191.0	0.6	0.1	false	true
174.0	63.0	515.0	28.0	55.0	175.0	0.4	0.5	false	true
100.0	222.0	318.0	51.0	52.0	150.0	0.6	0.9	false	true
296.0	197.0	350.0	74.0	20.0	150.0	0.9	0.3	false	false
163.0	168.0	634.0	55.0	13.0	107.0	0.8	0.6	false	false
101.0	280.0	592.0	31.0	17.0	171.0	0.9	0.9	false	false
215.0	112.0	453.0	19.0	138.0	5.0	0.2	0.3	false	false
279.0	283.0	654.0	62.0	157.0	6.0	0.2	0.6	false	false
